name,host,survey,m_g,g_r,converted_from_gi,dist_mpc,dist_sbf_mpc
dw1220p4729,NGC4258,ELVES (Carlsten+22),20.41,0.26000000000000156,False,7.2,9.25
dw1220p4649,NGC4258,ELVES (Carlsten+22),18.9,0.46999999999999886,False,7.2,7.95
dw1223p4739,NGC4258,ELVES (Carlsten+22),18.12,0.4299999999999997,False,7.2,7.41
dw1227p0136,NGC4517,ELVES (Carlsten+22),15.72,0.08999999999999986,False,8.34,
dw1231p0140,NGC4517,ELVES (Carlsten+22),15.53,0.34999999999999964,False,8.34,8.49
dw1232p0015,NGC4517,ELVES (Carlsten+22),17.51,0.5800000000000018,False,8.34,9.56
dw1236m0025,NGC4517,ELVES (Carlsten+22),18.68,0.21999999999999886,False,8.34,9.38
dw1238p0028,NGC4517,ELVES (Carlsten+22),19.7,0.5199999999999996,False,8.34,9.21
dw1238m0035,NGC4517,ELVES (Carlsten+22),19.2,0.46000000000000085,False,8.34,9.2
dw1238m0105,NGC4517,ELVES (Carlsten+22),20.42,0.43000000000000327,False,8.34,7.27
dw1239m0039,NGC4517,ELVES (Carlsten+22),16.88,0.3099999999999987,False,8.34,8.34
NGC4592,NGC4517,ELVES (Carlsten+22),12.04,0.379999999999999,False,8.34,
dw1234p2531,NGC4565,ELVES (Carlsten+22),16.72,0.5399999999999991,False,11.9,11.87
NGC4562,NGC4565,ELVES (Carlsten+22),13.51,0.4599999999999991,False,11.9,
IC3571,NGC4565,ELVES (Carlsten+22),16.58,0.1599999999999966,False,11.9,
dw1237p2602,NGC4565,ELVES (Carlsten+22),18.04,0.39000000000000057,False,11.9,10.97
dw1237m1125,M104,ELVES (Carlsten+22),18.32,0.5111111111111111,True,9.55,7.51
dw1239m1159,M104,ELVES (Carlsten+22),19.14,0.3346405228758173,True,9.55,11.33
dw1239m1143,M104,ELVES (Carlsten+22),16.46,0.537254901960785,True,9.55,9.39
dw1239m1113,M104,ELVES (Carlsten+22),18.3,0.5633986928104587,True,9.55,7.87
dw1239m1120,M104,ELVES (Carlsten+22),19.47,0.3934640522875819,True,9.55,9.71
dw1239m1144,M104,ELVES (Carlsten+22),17.31,0.4588235294117635,True,9.55,9.0
dw1240m1118,M104,ELVES (Carlsten+22),15.95,0.5568627450980382,True,9.55,8.79
dw1240m1140,M104,ELVES (Carlsten+22),18.34,0.5895424836601314,True,9.55,4.25
dw1241m1131,M104,ELVES (Carlsten+22),19.81,0.4457516339869272,True,9.55,7.25
dw1241m1153,M104,ELVES (Carlsten+22),18.33,0.49150326797385546,True,9.55,11.19
dw1241m1155,M104,ELVES (Carlsten+22),17.5,0.5307189542483668,True,9.55,9.02
dw1236p3336,NGC4631,ELVES (Carlsten+22),16.67,0.25,False,7.4,
