M33            M31      23.4583  30.6603 205.8                              -18.84 0.10  9.51 0.22 25.46 0.60               False True  1.00      MCCONN
dw0846p3348    NGC2683 131.6301  33.8106 220.0 18.42 0.10 17.90 0.10 -11.44 -11.75 0.11  6.75 0.14 25.57 0.14   910.2  71.1 True  False 0.95 gr   DECALS
dw0852p3249    NGC2683 133.1987  32.8288  97.6 20.29 0.15 19.72 0.14  -9.58  -9.91 0.15  6.06 0.17 24.98 0.22   352.8  47.3 True  False 0.70 gr   DECALS
dw0854p3314    NGC2683 133.5854  33.2493  63.5 19.10 0.11 18.47 0.11 -10.77 -11.13 0.12  6.65 0.14 25.45 0.16   598.4  55.4 True  False 0.90 gr   DECALS
dw0929p2213    NGC2903 142.4777  22.2181 139.5 20.59 0.16 20.17 0.16  -9.18  -9.42 0.17  5.64 0.18 25.77 0.24   415.9  62.0 False True  1.00 gr   DECALS
dw0930p1959    NGC2903 142.5540  19.9913 247.8 16.65 0.09 16.28 0.09 -13.12 -13.34 0.09  7.13 0.13 23.61 0.11   556.5  32.0 False True  1.00 gr   DECALS
dw0930p2143    NGC2903 142.6666  21.7240  65.1 18.96 0.08 18.72 0.07 -10.81 -10.95 0.09  5.98 0.11 23.30 0.06   270.5  21.5 False True  1.00 gr   CFHT
dw0932p1952    NGC2903 143.0991  19.8754 255.5 19.33 0.12 18.75 0.11 -10.44 -10.78 0.12  6.44 0.14 24.17 0.17   309.0  30.6 True  True  1.00 gr   DECALS
UGC5086        NGC2903 143.2034  21.4656  24.2 15.74 0.08 15.15 0.06 -14.03 -14.37 0.08  7.88 0.13 22.38 0.13   728.9  30.3 True  True  1.00 gr   CFHT
dw0933p2030    NGC2903 143.3069  20.5152 159.6 17.39 0.09 16.93 0.10 -12.39 -12.65 0.10  6.99 0.13 22.53 0.12   443.9  28.3 True  True  1.00 gr   DECALS
dw0936p2135    NGC2903 144.0891  21.5993 153.8 17.84 0.10 17.40 0.10 -11.93 -12.19 0.10  6.78 0.13 22.74 0.13   341.4  23.6 False True  1.00 gr   DECALS
M82            M81     148.9683  69.6797  38.8                              -19.75      10.35                               False True  1.00
