dw1220p4649    NGC4258 185.2286  46.8302  21.37 0.12 >22.70      GI4_095048_NGC4258
dw1223p4739    NGC4258 185.9424  47.6589  21.40 0.08  23.68 0.58 PS_NGC4258_MOS24
dw1227p0136    NGC4517 186.9438   1.5998  16.36 0.05  16.48 0.05 GI4_002002_HI_1225p01
dw1231p0140    NGC4517 187.7660   1.6758  17.49 0.05  17.74 0.05 NGA_NGC4536
dw1232p0015    NGC4517 188.1505   0.2625  21.30 0.06 >23.59      GI1_033005_NGC4517
dw1236m0025    NGC4517 189.1755  -0.4305  20.58 0.05  20.89 0.10 GI3_121006_J123543m001325
dw1238p0028    NGC4517 189.5586   0.4771 >21.31      >21.60      AIS_228_1_92
dw1238m0035    NGC4517 189.7051  -0.5978 >21.59      >21.82      AIS_229_1_05
dw1238m0105    NGC4517 189.7086  -1.0868 >22.25      >22.52      AIS_229_1_06
dw1239m0039    NGC4517 189.7608  -0.6644  18.56 0.11  18.64 0.14 AIS_229_1_05
NGC4592        NGC4517 189.8273  -0.5318  13.77 0.05  14.14 0.05 AIS_229_1_05
dw1234p2531    NGC4565 188.6007  25.5221  20.62 0.45 >21.35      AIS_222_1_35
NGC4562        NGC4565 188.8948  25.8503  16.22 0.05  16.67 0.05 GI1_033001_NGC4565
IC3571         NGC4565 189.0835  26.0843  18.08 0.05  18.28 0.05 GI1_033001_NGC4565
dw1237p2602    NGC4565 189.2549  26.0360  20.58 0.06  20.92 0.09 GI1_033001_NGC4565
dw1237m1125    M104    189.2985 -11.4332 >21.91      >21.49      AIS_331_1_73
dw1239m1159    M104    189.7877 -11.9867 >22.43      >22.47      NGA_NGC4594
dw1239m1143    M104    189.8136 -11.7189  20.18 0.08  22.43 0.69 NGA_NGC4594
dw1239m1113    M104    189.8866 -11.2268 >21.88      >22.22      NGA_NGC4594
dw1239m1120    M104    189.9645 -11.3413 >23.10      >23.20      NGA_NGC4594
dw1239m1144    M104    189.9787 -11.7460 >21.19      >21.88      NGA_NGC4594
dw1240m1118    M104    190.0392 -11.3139  19.86 0.07  22.08 0.61 NGA_NGC4594
dw1240m1140    M104    190.0733 -11.6793 >21.67       22.28 0.66 NGA_NGC4594
dw1241m1131    M104    190.2617 -11.5288 >22.42      >22.88      NGA_NGC4594
dw1241m1153    M104    190.3002 -11.8916  21.61 0.40 >22.15      NGA_NGC4594
dw1241m1155    M104    190.3281 -11.9254  20.92 0.20 >22.12      NGA_NGC4594
dw1236p3336    NGC4631 189.2059  33.6131  18.45 0.06  18.79 0.11 AIS_113_1_38
dw1239p3230    NGC4631 189.7713  32.5046  20.74 0.12  21.46 0.27 GI4_016001_CVNIDWA
dw1239p3251    NGC4631 189.8317  32.8608 >23.25      >23.29      GI4_016001_CVNIDWA
dw1240p3216    NGC4631 190.2209  32.2822  23.06 0.39 >23.92      NGA_NGC4631
dw1240p3247    NGC4631 190.2437  32.7904 >21.00      >21.66      NGA_NGC4631
dw1241p3251    NGC4631 190.4464  32.8577  17.17 0.05  17.41 0.05 NGA_NGC4631
NGC4627        NGC4631 190.4987  32.5740  16.08 0.05  17.33 0.05 NGA_NGC4631
dw1242p3237    NGC4631 190.5255  32.6219  20.74 0.65  21.12 0.26 NGA_NGC4631
dw1242p3158    NGC4631 190.6308  31.9692  22.93 0.38  23.02 0.41 NGA_NGC4631
dw1243p3228    NGC4631 190.8534  32.4821  20.14 0.05  22.93 0.53 NGA_NGC4631
dw1248p3158    NGC4631 192.2187  31.9702  19.91 0.21 >21.17      AIS_113_1_45
