0521-52326-073 191.09743 +02.26125 J124423.37+021540.4
0526-52312-097 200.54982 +01.50955 J132211.95+013034.3
0555-52266-558 143.50845 +55.24107 J093402.03+551427.8
0559-52316-257 154.22135 +58.39454 J101653.12+582340.3
0564-52224-216 131.05931 +02.43920 J084414.22+022621.2
0573-52325-099 151.94381 +02.87455 J100746.51+025228.3
0575-52319-521 156.12188 +05.41417 J102429.25+052450.9
0577-52367-344 157.90533 +04.57279 J103137.28+043422.0
0578-52339-060 161.24080 +03.88699 J104457.79+035313.1
0615-52347-590 234.47218 +58.69382 J153753.31+584137.7
0616-52374-393 234.26740 +55.26406 J153704.18+551550.4
0624-52377-361 244.09808 +47.03398 J161623.53+470202.3
0740-52263-259 341.48721 +12.83954 J224556.93+125022.3
0741-52261-086 344.03924 +13.09761 J225609.41+130551.4
0741-52261-279 342.91799 +13.45373 J225140.31+132713.3
0742-52263-179 345.34830 +13.55411 J230123.59+133314.7
0753-52233-094 006.10811 +14.06962 J002425.94+140410.3
0769-52282-100 147.88236 +52.99335 J095131.76+525936.0
0775-52295-029 172.13055 +61.21544 J112831.31+611255.5
0776-52319-540 174.75190 +63.14285 J113900.45+630834.2
0777-52320-635 180.43364 +62.32588 J120144.09+621933.2
0778-52337-498 181.85687 +62.58275 J120725.64+623457.9
0779-52342-355 181.85685 +62.58276 J120725.64+623457.9
0782-52320-022 196.19012 +62.40580 J130445.62+622420.8
0785-52339-079 205.27828 +60.89654 J134106.78+605347.5
0786-52319-443 206.69473 +62.03946 J134646.72+620222.1
0795-52378-405 232.59615 +52.74615 J153023.06+524445.8
0826-52295-639 126.48135 +35.54221 J082555.52+353231.9
0828-52317-148 129.68184 +38.89736 J083843.63+385350.5
0831-52294-526 136.36701 +44.18287 J090528.08+441058.4
0842-52376-330 180.43944 +05.82092 J120145.46+054915.2
0843-52378-541 183.82644 +05.76095 J121518.31+054539.8
0844-52378-041 184.79119 +03.85649 J121909.87+035123.4
0844-52378-299 184.14965 +04.11944 J121635.91+040710.0
0845-52381-246 187.91661 +03.94210 J123139.98+035631.4
0847-52426-040 193.31007 +04.46314 J125314.41+042747.2
0847-52426-522 192.47854 +06.10287 J124954.84+060610.3
0853-52374-196 203.71247 +04.23679 J133450.99+041412.4
0854-52373-373 205.71689 +05.23757 J134252.05+051415.2
0854-52373-514 206.38126 +04.70909 J134531.50+044232.7
0861-52318-489 123.39240 +31.54782 J081334.17+313252.1
0875-52354-142 160.17654 +49.20658 J104042.36+491223.7
0875-52354-226 158.78700 +49.36180 J103508.87+492142.4
0882-52370-476 179.82522 +52.70952 J115918.05+524234.3
0883-52430-341 181.02169 +52.59636 J120405.20+523546.8
0884-52374-216 186.83398 +51.65677 J122720.15+513924.3
0906-52368-534 161.34338 +55.96037 J104522.41+555737.3
0908-52373-027 168.99237 +55.80183 J111558.16+554806.5
0911-52426-253 202.34778 -03.25061 J132923.46-031502.2
0920-52411-575 222.02242 -01.18270 J144805.37-011057.6
0943-52376-631 154.11758 +45.32156 J101628.22+451917.7
0946-52407-618 155.43515 +56.92210 J102144.43+565519.5
0947-52411-569 158.54230 +58.06363 J103410.15+580349.0
0950-52378-338 164.69876 +59.48669 J105847.69+592912.0
0951-52398-600 171.68461 +59.15545 J112644.31+590919.5
0952-52409-227 171.68465 +59.15543 J112644.31+590919.5
0952-52409-247 172.12829 +58.56184 J112830.78+583342.5
