0640-52178-261 0.8673 0.1500 8.43 0.21 -1.09 0.26 -0.75 0.42 -1.46 0.31 -2.31 0.26 -3.39 0.50 -1.80 0.37
0640-52178-320 1.2911 0.0612 7.98 0.05 -1.43 0.07 -0.78 0.09 -1.55 0.10 -2.26 0.06  0.00 0.00  0.00 0.00
0640-52178-600 1.0042 0.1812 8.38 0.21 -1.41 0.26 -0.74 0.43 -1.95 0.34 -2.48 0.26  0.00 0.00 -2.10 0.43
0641-52199-213 0.9846 0.1660 8.33 0.19 -1.16 0.24 -0.76 0.38 -1.73 0.28 -2.48 0.23  0.00 0.00 -1.69 0.34
0651-52141-452 1.1388 0.0845 8.22 0.07 -1.39 0.10 -0.69 0.14 -1.71 0.15 -2.45 0.10  0.00 0.00 -2.11 0.48
0652-52138-090 1.1737 0.0727 8.09 0.06 -1.29 0.08 -0.87 0.12 -1.63 0.12 -2.32 0.08  0.00 0.00 -1.97 0.34
0653-52145-056 1.1246 0.1320 8.13 0.12 -0.91 0.15 -0.78 0.25 -1.73 0.20 -2.35 0.15  0.00 0.00 -1.80 0.28
0653-52145-462 1.2820 0.0400 8.09 0.03 -1.52 0.05 -0.77 0.06 -1.68 0.08 -2.47 0.08  0.00 0.00 -1.85 0.21
0657-52177-193 1.1488 0.1150 8.14 0.10 -1.00 0.13 -0.78 0.20 -1.73 0.21 -2.47 0.13  0.00 0.00  0.00 0.00
0659-52199-033 1.0613 0.1378 8.22 0.13 -1.17 0.17 -0.77 0.28 -1.60 0.21 -2.38 0.17  0.00 0.00 -2.01 0.38
0660-52177-591 1.6714 0.0749 7.61 0.04 -1.38 0.07 -0.81 0.07 -1.58 0.10 -2.29 0.12  0.00 0.00  0.00 0.00
0662-52147-466 0.9981 0.1055 8.34 0.12 -1.28 0.15 -0.69 0.23 -1.76 0.21 -2.46 0.15  0.00 0.00 -1.86 0.28
0663-52145-288 1.0692 0.0874 8.27 0.09 -1.34 0.12 -0.76 0.17 -1.76 0.20 -2.40 0.11  0.00 0.00  0.00 0.00
0663-52145-588 1.4081 0.0616 7.91 0.04 -1.40 0.06 -0.70 0.08 -1.60 0.11 -2.37 0.06  0.00 0.00 -1.61 0.21
0666-52149-087 1.1035 0.1082 8.09 0.10 -0.99 0.13 -0.86 0.22 -1.70 0.18 -2.25 0.13  0.00 0.00  0.00 0.00
0667-52163-188 1.0164 0.1014 8.39 0.11 -1.56 0.14 -0.78 0.22 -1.79 0.21 -2.47 0.14  0.00 0.00 -2.04 0.35
0668-52162-152 1.5326 0.0509 7.89 0.03 -1.49 0.06 -0.78 0.06 -1.55 0.09 -2.28 0.05  0.00 0.00  0.00 0.00
0330-52370-471 1.4506 0.0479 7.87 0.03 -1.51 0.05 -0.69 0.06 -1.59 0.07 -2.33 0.05 -3.41 0.32 -1.55 0.15
0331-52368-049 0.8890 0.1472 8.49 0.19 -1.32 0.24 -0.65 0.40 -1.63 0.30 -2.45 0.24  0.00 0.00 -1.98 0.37
0375-52140-118 1.4387 0.0464 7.95 0.03 -1.44 0.05 -0.75 0.06 -1.61 0.09 -2.37 0.09  0.00 0.00 -1.68 0.24
0376-52143-160 1.7115 0.0665 7.66 0.04  0.00 0.00 -0.73 0.06 -1.63 0.10 -2.44 0.15  0.00 0.00 -1.44 0.34
0378-52146-082 1.0765 0.1960 8.24 0.19 -1.15 0.24 -0.76 0.40 -1.72 0.28 -2.46 0.24  0.00 0.00 -2.47 0.85
0501-52235-602 1.1590 0.0472 8.19 0.04 -1.49 0.06 -0.73 0.08 -1.72 0.09 -2.46 0.09 -3.44 0.24 -1.88 0.19
0510-52381-635 1.4872 0.0404 7.98 0.03 -1.62 0.05 -0.77 0.05 -1.67 0.08 -2.43 0.07 -3.54 0.27 -1.76 0.22
0518-52282-335 1.0240 0.1295 8.26 0.13 -0.96 0.17 -0.68 0.27 -1.83 0.24 -2.46 0.17  0.00 0.00 -1.80 0.30
0521-52326-073 1.2081 0.0470 8.17 0.04 -1.26 0.06 -0.74 0.08 -1.65 0.09 -2.57 0.12 -3.08 0.14 -1.51 0.12
